,bpp_base,ssim_base,bpp_solution,ssim_solution,bpp_jpeg,ssim_jpeg
0,1.247,0.7213761516580237,0.882,0.6512258959685989,1.06884765625,0.8947522610105593
1,1.204,0.7520586870077969,0.9424,0.7229146729480629,0.92138671875,0.8731956424370425
2,1.252,0.6783101392554615,0.834,0.6198684885293454,1.05859375,0.8543076822009077
3,1.201,0.6557216764909292,0.9224,0.5765506528329878,0.9921875,0.8244911686249531
4,1.26,0.6885648829550505,0.8604,0.6299981838734348,1.10595703125,0.8851175324245261
5,1.249,0.6649120066130662,0.843,0.6018961872094474,1.072265625,0.8557438764632072
6,1.223,0.739191482029398,0.8975,0.6986280079020409,1.0498046875,0.8817955624990068
7,1.193,0.7200250987188143,0.9683,0.7118946384604388,0.9951171875,0.8715990935802189
8,1.219,0.6894488378152399,0.875,0.6402668342377745,1.03955078125,0.8568611564064494
9,1.189,0.7386421052072834,0.9434,0.6901654840541361,1.005859375,0.8850584843194618
10,1.165,0.6971748017209705,0.856,0.5982582918764014,1.04248046875,0.8550707044179635
11,1.262,0.6937015398889596,0.8745,0.625772933990553,1.07568359375,0.8804376452338816
12,1.164,0.6840283820414,0.9224,0.6341028176625652,0.97314453125,0.8347144921681812
13,1.232,0.714853681585903,0.8887,0.6179972240878381,1.03515625,0.8679541637118676
14,1.207,0.742873146737964,0.86,0.681129468215774,1.07958984375,0.9024605721356328
15,1.217,0.6854434875462182,0.864,0.6253337419073228,0.99365234375,0.8459036335877353
16,1.246,0.6784673841507457,0.846,0.6109930653048041,1.08740234375,0.8696308557448087
17,1.198,0.6890538292651521,0.8657,0.6073512815554539,1.05078125,0.8433353861832251
18,1.213,0.6790194728683493,0.7896,0.5302671154335461,1.03759765625,0.8401572988651993
19,1.208,0.7553376967610311,0.843,0.715653100379329,1.1103515625,0.9126201904266562
20,1.217,0.6846582764932047,0.8564,0.6118447109124251,0.99267578125,0.840509220331723
